id,smiles,KRAS G12D SPR KD  (nM),KRAS G12D binding IC50 (nM),pERK IC50 (nM),SMILES
435,CNC(O[C@@H]1CN(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1)=O,,28.2,1822.4,CNC(=O)O[C@@H]1CN2CCC[C@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)C1
436,O=C(N1CCOCC1)O[C@@H]1CN(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,,48.3,3989.5,O=C(O[C@@H]1CN2CCC[C@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cccc5cccc(Cl)c45)c(F)c3n2)C1)N1CCOCC1
437,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C(CC4)C5CC5)c4ccc3)c3F)c3n2)C1,,233.7,,Fc1c(-c2cccc3c2C(C2CC2)CC3)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc12
438,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(CC4C5C4)c5ccc3)c3F)c3n2)C1,,20.1,1630.8,Fc1c(-c2cccc3c2CC2CC32)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc12
439,CN(C)C(OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3c4C#C)cccc3ccc4F)c3F)c3n2)CC1)=O,,0.4,12.8,C#Cc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12
440,CN(C)C(OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3c4C#C)cc(O)cc3ccc4F)c3F)c3n2)CC1)=O,,0.8,8.4,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12
441,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@]4(CCC5)N5[C@@H](COC(N(C)C)=O)CC4)c3F)cc(O)cc2ccc1F,,0.5,4.1,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12
442,O=C1OCCN1C[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,25,1162,O=C1OCCN1C[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cccc6cccc(Cl)c56)c(F)c4n3)CCCN12
443,O=C(N1CCCC1)OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,3.2,160,O=C(OC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cccc6cccc(Cl)c56)c(F)c4n3)CCCN12)N1CCCC1
444,O=C(N1CCCCC1)OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,5.5,365,O=C(OC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cccc6cccc(Cl)c56)c(F)c4n3)CCCN12)N1CCCCC1
