id,smiles,KRAS G12D SPR KD  (nM),KRAS G12D binding IC50 (nM),pERK IC50 (nM),SMILES
553,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,110.2,48.9,2349,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cc(O)cc3ccccc13)C2
554,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,163.2,266.5,16085,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2
555,CC1=CC=C2NN=CC2=C1N1CCC2=C(C1)N=C(OC[C@@H]1CCCN1C)N=C2N1CC2CCC(C1)N2,6365.7,1315.4,,Cc1ccc2[nH]ncc2c1N1CCc2c(nc(OC[C@@H]3CCCN3C)nc2N2CC3CCC(C2)N3)C1
556,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C=CC=C4)C2)C(N2CC3C[C@@H](O)C(C2)N3)=N1,1.5,3.7,994,CN1CCC[C@H]1COc1nc2c(c(N3CC4C[C@@H](O)C(C3)N4)n1)CCN(c1cc(O)cc3ccccc13)C2
557,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1[C@@H](COC(=O)NC)CC4)N=C3N1CC3CCC(C1)N3)=CC=C2,,1.6,142,CCc1cccc2cccc(N3CCc4c(nc(OCC56CCCN5[C@@H](COC(=O)NC)CC6)nc4N4CC5CCC(C4)N5)C3)c12
558,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1C[C@H](F)C4)N=C3N1C=C3CCC(C1)N3)=CC(O)=C2,,0.8,12,CCc1cccc2cc(O)cc(N3CCc4c(nc(OCC56CCCN5C[C@H](F)C6)nc4N4C=C5CCC(C4)N5)C3)c12
559,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@@]14CCCN1C[C@H](F)C4)N=C3N1CC3CCC(C1)N3)=CC(O)=C2,,1,13,CCc1cccc2cc(O)cc(N3CCc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N4CC5CCC(C4)N5)C3)c12
560,CCC1=CC=CC2=C1C(N1CCC3=C(N4CC5CCC(C4)N5)N=C(OC[C@@H]4CCCN4C)N=C3C1)=CC=C2,,5.5,12570,CCc1cccc2cccc(N3CCc4c(nc(OC[C@@H]5CCCN5C)nc4N4CC5CCC(C4)N5)C3)c12
561,*[C@H]1CN2CCC[C@@]2(COC2=NC(N3CC4CCC(C3)N4)=C3CCN(C4=CC=CC5=C4C(CC)=CC=C5)CC3=N2)C1,,3.1,1656,*[C@H]1CN2CCC[C@@]2(COc2nc3c(c(N4CC5CCC(C4)N5)n2)CCN(c2cccc4cccc(CC)c24)C3)C1
562,CCC1=CC=CC2=C1C(N1CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4CCC5)N=C3C1)=CC=C2,,1.1,738,CCc1cccc2cccc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4CC5CCC(C4)N5)C3)c12
563,F[C@H]1CN2CCCC2(COC2=NC(N3CC4CCC(C3)N4)=C3CCN(C4=CC=CC5=C4C(C4CC4)=CC=C5)CC3=N2)C1,,19.8,>16667,F[C@H]1CN2CCCC2(COc2nc3c(c(N4CC5CCC(C4)N5)n2)CCN(c2cccc4cccc(C5CC5)c24)C3)C1
564,ClC1=C(Cl)C2=C(C=CC=C2N2CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4CCC5)N=C3C2)C=C1,,344.8,,Clc1ccc2cccc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4CC5CCC(C4)N5)C3)c2c1Cl
565,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1[C@@H](COC(=O)N(C)C)CC4)N=C3N1CC3CCC(C1)N3)=CC=C2,,1.3,261,CCc1cccc2cccc(N3CCc4c(nc(OCC56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4N4CC5CCC(C4)N5)C3)c12
566,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14C#CCN1CCC4)N=C3N1CC3CCC(C1)N3)=CC(O)=C2,,1.1,21,CCc1cccc2cc(O)cc(N3CCc4c(nc(OCC56C#CCN5CCC6)nc4N4CC5CCC(C4)N5)C3)c12
567,CN1CCC[C@H]1COC1=NC(N2CC3CCC(C2)N3)=C2CCN(C3=CC=CC4=C3C=CC=C4Cl)CC2=N1,,7904.6,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3c(Cl)cccc13)C2
568,CN1CCC[C@H]1COC1=NC(N2CC3CCC(C2)N3)=C2CCN(C3=CC=CC4=C3C=CC=C4F)CC2=N1,,1762.9,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3c(F)cccc13)C2
569,F[C@H]1CN2CCCC2(COC2=NC3=C(CCN(C4=CC=CC(Cl)=C4C4CC4)C3)C(N3CC4CCC(C3)N4)=N2)C1,,29.5,>16667,F[C@H]1CN2CCCC2(COc2nc3c(c(N4CC5CCC(C4)N5)n2)CCN(c2cccc(Cl)c2C2CC2)C3)C1
570,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@]14CCCN1[C@@H](COC(=O)NC)CC4)N=C3N1C=C3CCC(C1)N3)=CC=C2,,2,70,CCc1cccc2cccc(N3CCc4c(nc(OC[C@]56CCCN5[C@@H](COC(=O)NC)CC6)nc4N4C=C5CCC(C4)N5)C3)c12
571,CCC1=C(F)C=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1CCC4)N=C3N1CC3C=CC(C1)N3)=CC=C2,,1.8,324,CCc1c(F)ccc2cccc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4CC5C=CC(C4)N5)C3)c12
572,CCC1=C(F)C=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1C[C@H](F)C4)N=C3N1CC3C=CC(C1)N3)=CC=C2,,2.8,539,CCc1c(F)ccc2cccc(N3CCc4c(nc(OCC56CCCN5C[C@H](F)C6)nc4N4CC5C=CC(C4)N5)C3)c12
574,COC1=NC2=C(CCN(C3=CC=CC4=C3C(C)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,302195.6,7862.6,,COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(C)c13)C2
575,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1C(CF)CC4)N=C3N1CC3CCC(C1)N3)=CC(O)=C2,,1.1,119,CCc1cccc2cc(O)cc(N3CCc4c(nc(OCC56CCCN5C(CF)CC6)nc4N4CC5CCC(C4)N5)C3)c12
576,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=C(Cl)C4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,37.7,1362.6,>16667,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cc(O)c(Cl)c3ccccc13)C2
577,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(F)C(O)=C(F)C4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,846.8,6788.2,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1c(F)c(O)c(F)c3ccccc13)C2
578,CC(OC1=NC2=C(CCN(C3=CC(O)=C(Cl)C4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1)[C@@H]1CCCO1,325.1,,>16667,CC(Oc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cc(O)c(Cl)c3ccccc13)C2)[C@@H]1CCCO1
579,OC1=C(Cl)C2=C(C=CC=C2)C(N2CCC3=C(C2)N=C(OC[C@@H]2CCCN2)N=C3N2CC3CCC(C2)N3)=C1,91.3,1601.7,11111,Oc1cc(N2CCc3c(nc(OC[C@@H]4CCCN4)nc3N3CC4CCC(C3)N4)C2)c2ccccc2c1Cl
580,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,>1000000,1.2,361,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cc(O)cc3cccc(Cl)c13)C2
581,ClC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1CCC4)N=C3N1CC3CCC(C1)N3)=CC=C2,6.3,2.5,4053,Clc1cccc2cccc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4CC5CCC(C4)N5)C3)c12
582,ClC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1CCC4)N=C3N1CC3CCC(C1)N3)=CN=C2,87.1,16.8,2611,Clc1cccc2cncc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4CC5CCC(C4)N5)C3)c12
583,OC1=CC2=C(C=CC=C2)C(N2CCC3=C(C2)N=C(OCC24CCCN2CCC4)N=C3N2CC3CCC(C2)N3)=C1,0.8,3.8,1611,Oc1cc(N2CCc3c(nc(OCC45CCCN4CCC5)nc3N3CC4CCC(C3)N4)C2)c2ccccc2c1
584,CC(C)C1=CC=CC=C1N1CCC2=C(C1)N=C(OCC13CCCN1C(COC(=O)N(C)C)CC3)N=C2N1CC2CCC(C1)N2,,1170.4,,CC(C)c1ccccc1N1CCc2c(nc(OCC34CCCN3C(COC(=O)N(C)C)CC4)nc2N2CC3CCC(C2)N3)C1
585,CN(C)C(=O)OC[C@H]1CCC2(COC3=NC4=C(CCN(C5=CC=CC(Cl)=C5C5CC5)C4)C(N4CC5CCC(C4)N5)=N3)CCCN12,,50.2,5556,CN(C)C(=O)OC[C@H]1CCC2(COc3nc4c(c(N5CC6CCC(C5)N6)n3)CCN(c3cccc(Cl)c3C3CC3)C4)CCCN12
586,CNC(=O)OC[C@H]1CCC2(COC3=NC4=C(CCN(C5=CC=CC6=C5C(F)=CC=C6)C4)C(N4CC5CCC(C4)N5)=N3)CCCN12,,111.4,3909,CNC(=O)OC[C@H]1CCC2(COc3nc4c(c(N5CC6CCC(C5)N6)n3)CCN(c3cccc5cccc(F)c35)C4)CCCN12
587,CN1CCC[C@H]1COC1=NC2=C(CCN(C3CC(O)C4=CC=CC=C43)C2)C(N2CC3CCC(C2)N3)=N1,569626.2,>10000,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(C1CC(O)c3ccccc31)C2
588,COC1C=C(N2CCC3=C(C2)N=C(OC[C@@H]2CCCN2C)N=C3N2CC3CCC(C2)N3)C2=CC=CC=C21,24285.7,>10000,,COC1C=C(N2CCc3c(nc(OC[C@@H]4CCCN4C)nc3N3CC4CCC(C3)N4)C2)c2ccccc21
589,*C1CC2CN(C3=NC(OCC4CCCN4C)=NC4=C3CCN(C3=CC(O)=CC5=C3C=CC=C5)C4)CC1N2,12793.7,88.1,3849,*C1CC2CN(c3nc(OCC4CCCN4C)nc4c3CCN(c3cc(O)cc5ccccc35)C4)CC1N2
590,CN1CCCC1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C=CC=C4)C2)C(N2CC3CC(F)C(C2)N3)=N1,2338.1,73.5,5004,CN1CCCC1COc1nc2c(c(N3CC4CC(F)C(C3)N4)n1)CCN(c1cc(O)cc3ccccc13)C2
591,CN1CCCC1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CC(CCN)C(C2)N3)=N1,,2694.4,,CN1CCCC1COc1nc2c(c(N3CC4CC(CCN)C(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2
592,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C=C=CC4=C3C(O)=CC=C4)C2)C(N2CC3CC(CC#N)C(C2)N3)=N1,957.1,63.9,>16667,CN1CCC[C@H]1COc1nc2c(c(N3CC4CC(CC#N)C(C3)N4)n1)CCN(C1=C=C=Cc3cccc(O)c31)C2
593,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CC(O)(C(F)F)C(C2)N3)=N1,,3128.4,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CC(O)(C(F)F)C(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2
594,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CCC(CC#N)(C2)N3)=N1,,1799,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(CC#N)(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2
595,COC1CC2CN(C3=NC(OCC45CCCN4C[C@H](F)C5)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,57.6,90.1,>16667,COC1CC2CN(c3nc(OCC45CCCN4C[C@H](F)C5)nc4c3CCN(c3cccc5cccc(Cl)c35)C4)CC1N2
596,FC1CN2CCCC2(COC2=NC3=C(CCN(C4=CC=CC5=C4C(Cl)=CC=C5)C3)C(N3CC4CC(F)C(C3)N4)=N2)C1,43.9,43.5,9030,FC1CN2CCCC2(COc2nc3c(c(N4CC5CC(F)C(C4)N5)n2)CCN(c2cccc4cccc(Cl)c24)C3)C1
597,OC1CC2CN(C3=NC(OCC45CCCN4C[C@H](F)C5)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,1.9,2.6,1361,OC1CC2CN(c3nc(OCC45CCCN4C[C@H](F)C5)nc4c3CCN(c3cccc5cccc(Cl)c35)C4)CC1N2
598,F[C@H]1CN2CCCC2(COC2=NC3=C(CCN(C4=CC=CC5=C4C(Cl)=CC=C5)C3)C(N3CC4CCC(C3)N4)=N2)C1,,4.4,4570,F[C@H]1CN2CCCC2(COc2nc3c(c(N4CC5CCC(C4)N5)n2)CCN(c2cccc4cccc(Cl)c24)C3)C1
600,F[C@H]1CN2CCCC2(COC2=NC(N3CC4CCC(C3)N4)=C3CCN(C4=CC=CC(Cl)=C4C(F)(F)F)CC3=N2)C1,,5.5,5223,F[C@H]1CN2CCCC2(COc2nc3c(c(N4CC5CCC(C4)N5)n2)CCN(c2cccc(Cl)c2C(F)(F)F)C3)C1
601,OC1=CC2=C(C(Cl)=CC=C2)C(N2CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4C[C@H](F)C5)N=C3C2)=C1,,0.5,77,Oc1cc(N2CCc3c(nc(OCC45CCCN4C[C@H](F)C5)nc3N3CC4CCC(C3)N4)C2)c2c(Cl)cccc2c1
603,F[C@H]1CN2CCCC2(COC2=NC(N3CC4CCC(C3)N4)=C3CCN(C4=CC=CC5=C4C(C(F)(F)F)=CC=C5)CC3=N2)C1,,16.9,>16667,F[C@H]1CN2CCCC2(COc2nc3c(c(N4CC5CCC(C4)N5)n2)CCN(c2cccc4cccc(C(F)(F)F)c24)C3)C1
604,CC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@@H]1CCCN1C)N=C3N1CC3CCC(C1)N3)=CC=C2,250128.2,361.4,14931,Cc1cccc2cccc(N3CCc4c(nc(OC[C@@H]5CCCN5C)nc4N4CC5CCC(C4)N5)C3)c12
605,CN1CCC[C@H]1COC1=NC2=C(CC(=O)N(CC3=CC=CC=C3)C2)C(N2C=C3CCC(C2)N3)=N1,>1000000,5259,,CN1CCC[C@H]1COc1nc2c(c(N3C=C4CCC(C3)N4)n1)CC(=O)N(Cc1ccccc1)C2
606,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C=CC=C4)C2)C(N2CC3CC(O)C(C2)N3)=N1,500733.2,41.1,1133,CN1CCC[C@H]1COc1nc2c(c(N3CC4CC(O)C(C3)N4)n1)CCN(c1cc(O)cc3ccccc13)C2
607,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(C(F)F)=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,89891.1,>10000,>16667,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cc(C(F)F)cc3ccccc13)C2
608,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CN=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,98461.5,>10000,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cncc3ccccc13)C2
609,CCC1CN(C2=NC(OC[C@@H]3CCCN3C)=NC3=C2CCN(C2=CN=CC4=C2C(Cl)=CC=C4)C3)CCN1,438.1,282.9,>16667,CCC1CN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cncc4cccc(Cl)c24)C3)CCN1
610,NC1=NC2=C(C=CC=C2)C(N2CCC3=C(C2)N=C(OCC2CCCN2)N=C3N2CC3CCC(C2)N3)=N1,597845.6,7500,,Nc1nc(N2CCc3c(nc(OCC4CCCN4)nc3N3CC4CCC(C3)N4)C2)c2ccccc2n1
611,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=NC(N)=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,,>10000,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1nc(N)cc3ccccc13)C2
613,FC1=C(Cl)C2=C(C=CC=C2N2CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4CCC5)N=C3C2)C=C1,8.1,1,1936,Fc1ccc2cccc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4CC5CCC(C4)N5)C3)c2c1Cl
614,FC(F)(F)C1=C(Cl)C=CC=C1N1CCC2=C(N3CC4CCC(C3)N4)N=C(OCC34CCCN3CCC4)N=C2C1,12.3,5.1,6581,FC(F)(F)c1c(Cl)cccc1N1CCc2c(nc(OCC34CCCN3CCC4)nc2N2CC3CCC(C2)N3)C1
615,CC1=C(C(F)(F)F)C(N2CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4CCC5)N=C3C2)=CC=C1,67.3,13,>16667,Cc1cccc(N2CCc3c(nc(OCC45CCCN4CCC5)nc3N3CC4CCC(C3)N4)C2)c1C(F)(F)F
616,CN1CCC[C@H]1COC1=NC(N2CC3CCC(C2)N3)=C2CCN(C3=CC=CC4=C3C(Cl)=C(F)C=C4)CC2=N1,18.2,15.2,>16667,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3ccc(F)c(Cl)c13)C2
617,CCC1CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1C(COC(=O)N(CC)CC)CC4)N=C3N1CC3CCC(C1)N3)=CC=C2,,4.6,2209,CCC1CC=Cc2cccc(N3CCc4c(nc(OCC56CCCN5C(COC(=O)N(CC)CC)CC6)nc4N4CC5CCC(C4)N5)C3)c21
618,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC14CCCN1C(COC(=O)C1=CCS(=O)(=O)CC1)CC4)N=C3N1CC3CCC(C1)N3)=CC=C2,,1.5,150,CCc1cccc2cccc(N3CCc4c(nc(OC56CCCN5C(COC(=O)C5=CCS(=O)(=O)CC5)CC6)nc4N4CC5CCC(C4)N5)C3)c12
620,CC1=C(O)C=C(N2CCC3=C(C2)N=C(OCC2CCCN2C)N=C3N2CC3CCC(C2)N3)C2=C1C=CC=C2,38443.4,>10000,,Cc1c(O)cc(N2CCc3c(nc(OCC4CCCN4C)nc3N3CC4CCC(C3)N4)C2)c2ccccc12
621,CCC1CN(C2=NC(OC[C@@H]3CCCN3C)=NC3=C2CCN(C2=CC=CC4=C2C=CC=C4)C3)CCN1,2100,1118.9,,CCC1CN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4ccccc24)C3)CCN1
622,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3CCCC4)C2)C(N2CC3CCC(C2)N3)=N1,4217.1,1780,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3c1CCCC3)C2
623,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C=C(F)C=C4)C2)C(N2CC3CCC(C2)N3)=N1,922.5,226.3,>16667,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3ccc(F)cc13)C2
624,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(F)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,3161.7,1101,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(F)c13)C2
625,ClC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@@H]1CCCN1)N=C3N1CC3CCC(C1)N3)=CC=C2Br,41604.3,>10000,,Clc1cccc2c(Br)ccc(N3CCc4c(nc(OC[C@@H]5CCCN5)nc4N4CC5CCC(C4)N5)C3)c12
626,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(F)C=CC=C3C(F)(F)F)C2)C(N2CC3CCC(C2)N3)=N1,170483.5,>10000,>16667,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1c(F)cccc1C(F)(F)F)C2
627,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(F)C=CC(F)=C3C(F)F)C2)C(N2CC3CCC(C2)N3)=N1,97014.9,,>16667,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1c(F)ccc(F)c1C(F)F)C2
628,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(O)C=CC=C3F)C2)C(N2CC3CCC(C2)N3)=N1,264294.8,>10000,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1c(O)cccc1F)C2
629,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(O)C=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,51441.4,>10000,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1c(O)ccc3ccccc13)C2
630,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CCCO)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,1863,485.5,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(CCCO)c13)C2
631,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CCC#N)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,616.7,,11111,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(CCC#N)c13)C2
632,CCCCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@@H]1CCCN1C)N=C3N1CC3CCC(C1)N3)=CC=C2,,710.2,,CCCCc1cccc2cccc(N3CCc4c(nc(OC[C@@H]5CCCN5C)nc4N4CC5CCC(C4)N5)C3)c12
633,CC1CCCC2=C1C(N1CCC3=C(C1)N=C(OC[C@@H]1CCCN1C)N=C3N1CC3CCC(C1)N3)=CC=C2,149.5,61,,CC1CCCc2cccc(N3CCc4c(nc(OC[C@@H]5CCCN5C)nc4N4CC5CCC(C4)N5)C3)c21
634,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CCCC#N)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,19926.5,6565.8,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(CCCC#N)c13)C2
635,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CCCCO)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,8709.7,3688.9,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3cccc(CCCCO)c13)C2
636,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CC#N)CCC4)C2)C(N2CC3CCC(C2)N3)=N1,1509.8,,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC(C3)N4)n1)CCN(c1cccc3c1C(CC#N)CCC3)C2
637,OC1CC2CN(C3=NC(OCCC(F)(F)F)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,33232.2,2900.3,,OC1CC2CN(c3nc(OCCC(F)(F)F)nc4c3CCN(c3cccc5cccc(Cl)c35)C4)CC1N2
638,CC1CC2CN(C3=NC(OC[C@@H]4CCCN4C)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,704.8,271.4,13438,CC1CC2CN(c3nc(OC[C@@H]4CCCN4C)nc4c3CCN(c3cccc5cccc(Cl)c35)C4)CC1N2
640,CCCC1CC2CN(C3=NC(OC[C@@H]4CCCN4C)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,176.1,78.4,>16667,CCCC1CC2CN(c3nc(OC[C@@H]4CCCN4C)nc4c3CCN(c3cccc5cccc(Cl)c35)C4)CC1N2
641,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CC(C#N)C(C2)N3)=N1,,5489.7,,CN1CCC[C@H]1COc1nc2c(c(N3CC4CC(C#N)C(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2
642,CCCC1CC2CN(C3=NC(OC[C@@H]4CCCN4C)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,,360.3,>16667,CCCC1CC2CN(c3nc(OC[C@@H]4CCCN4C)nc4c3CCN(c3cccc5cccc(Cl)c35)C4)CC1N2
643,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3C[C@@H](O)C(C2)N3)=N1,58.3,50.6,>16667,CN1CCC[C@H]1COc1nc2c(c(N3CC4C[C@@H](O)C(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2
644,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CC(O)C(C2)N3)=N1,,331.2,>16667,CN1CCC[C@H]1COc1nc2c(c(N3CC4CC(O)C(C3)N4)n1)CCN(c1cccc3cccc(Cl)c13)C2
645,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(CCC14CCCN1[C@@H](COC(=O)N1CCCC1)CC4)N=C3N1CC3CCC(C1)N3)=CC=C2,,2.7,559,CCc1cccc2cccc(N3CCc4c(nc(CCC56CCCN5[C@@H](COC(=O)N5CCCC5)CC6)nc4N4CC5CCC(C4)N5)C3)c12
646,CNC(=O)OCC1CCCC2(COC3N=C(N4CC5CCC(C4)N5)C4=C(CN(C5=CC=CC6=C5C(Cl)=CC=C6)CC4)N3)CCCN12,,9.7,1311,CNC(=O)OCC1CCCC2(COC3N=C(N4CC5CCC(C4)N5)C4=C(CN(c5cccc6cccc(Cl)c56)CC4)N3)CCCN12
647,FC1(F)CCC2=C1C=CC=C2N1CCC2=C(C1)N=C(OCC13CCCN1CCC3)N=C2N1CC2CCC(C1)N2,,2485.2,,FC1(F)CCc2c(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4CC5CCC(C4)N5)C3)cccc21
